Timestamp,11,12,13,14,21,22,23,24,25,26,27,28,29,210,211,212,213,214,215,31,32,33,34,35,36,37,38,39,310,311,312,41,42,43,44,45,46
2025/06/26 12:49:00 PM GMT+6,20-30,Male,Student,Single,4,3,4,3,4,4,5,1,4,More than 10 times,Yes,Yes,Yes,Yes,7-9 Hours,3,3,3,3,2,3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Facebook;Instagram;YouTube,5-7 Hours,2,3
2025/06/26 12:49:44 PM GMT+6,20-30,Male,Student,Single,2,1,1,4,4,1,2,5,2,1-4 times,Yes,Yes,No,No,1-3 Hours,4,4,4,2,4,2,Yes,Yes,Yes,Yes,No,No,No,No,Facebook;Instagram;YouTube,5-7 Hours,1,1
2025/06/26 12:50:32 PM GMT+6,40-60,Male,Employed,Married,3,1,2,1,1,1,3,1,1,More than 10 times,No,No,Yes,No,1-3 Hours,1,1,1,1,1,1,No,Yes,Yes,No,No,No,No,No,Facebook;YouTube,5-7 Hours,1,1
2025/06/26 12:50:49 PM GMT+6,20-30,Female,Student,Married,5,1,1,1,1,3,3,1,1,8-10 times,Yes,Yes,Yes,Yes,4-6 Hours,4,4,4,3,1,2,Yes,No,Yes,No,No,No,No,No,Facebook,7-9 Hours,1,2
2025/06/26 12:53:04 PM GMT+6,20-30,Male,Student,Single,5,4,1,5,5,5,3,1,3,More than 10 times,Yes,Yes,Yes,Yes,More than  Hours,5,1,4,5,1,5,Yes,Yes,No,Yes,No,No,Yes,Yes,Facebook,5-7 Hours,4,5
2025/06/26 12:54:54 PM GMT+6,30-40,Male,Employed,Married,5,3,3,2,2,4,5,2,4,More than 10 times,Yes,Yes,Yes,Yes,7-9 Hours,3,2,2,3,3,2,No,Yes,Yes,Yes,No,No,Yes,,Facebook;YouTube,5-7 Hours,3,3
2025/06/26 12:55:10 PM GMT+6,20-30,Male,Student,Single,5,4,5,5,5,5,4,1,4,More than 10 times,Yes,Yes,Yes,Yes,7-9 Hours,5,4,4,4,3,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Facebook;Instagram;YouTube,7-9 Hours,3,4
2025/06/26 12:55:20 PM GMT+6,20-30,Female,Unemployed,Married,5,5,4,3,5,5,5,1,2,More than 10 times,Yes,Yes,Yes,No,7-9 Hours,5,4,5,5,1,4,Yes,Yes,Yes,Yes,No,No,Yes,,Facebook;YouTube,5-7 Hours,1,5
2025/06/26 12:56:18 PM GMT+6,30-40,Male,Self-employed,Married,4,3,2,1,2,3,1,1,3,More than 10 times,Yes,Yes,No,No,1-3 Hours,1,5,1,3,5,1,Yes,Yes,No,Yes,Yes,Yes,No,No,Facebook;X/Twitter ,5-7 Hours,1,2
2025/06/26 12:56:33 PM GMT+6,20-30,Male,Employed,Married,3,4,2,4,4,4,3,1,2,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,4,4,3,4,3,4,Yes,Yes,No,Yes,No,No,Yes,Yes,Facebook;YouTube,7-9 Hours,3,5
2025/06/26 12:58:03 PM GMT+6,20-30,Male,Student,Single,5,4,4,2,4,5,3,3,1,8-10 times,Yes,Yes,Yes,No,1-3 Hours,3,3,4,4,4,1,Yes,No,No,Yes,Yes,Yes,No,Yes,Facebook;Instagram;YouTube,5-7 Hours,2,5
2025/06/26 12:58:53 PM GMT+6,20-30,Female,Student,Single,3,5,5,5,5,5,5,5,5,1-4 times,Yes,Yes,Yes,Yes,More than  Hours,5,1,5,5,1,5,Yes,Yes,No,Yes,No,No,No,Yes,Facebook;YouTube,More than 9 Hours,5,5
2025/06/26 12:59:07 PM GMT+6,20-30,Male,Student,Single,1,1,1,1,3,5,3,1,5,More than 10 times,No,Yes,Yes,Yes,7-9 Hours,4,5,5,5,5,5,No,Yes,Yes,No,No,No,No,Yes,Facebook;YouTube,7-9 Hours,1,5
2025/06/26 12:59:09 PM GMT+6,20-30,Male,Employed,Single,3,3,2,2,2,2,2,1,1,1-4 times,No,Yes,Yes,No,1-3 Hours,1,2,1,1,1,1,No,Yes,Yes,Yes,No,No,No,,YouTube;LinkedIn,5-7 Hours,2,3
2025/06/26 12:59:30 PM GMT+6,20-30,Male,Student,Single,3,2,2,1,4,4,4,2,2,8-10 times,Yes,Yes,Yes,Yes,1-3 Hours,2,2,2,3,4,3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Facebook;YouTube,7-9 Hours,1,4
2025/06/26 1:00:20 PM GMT+6,20-30,Male,Employed,Married,2,1,1,5,1,1,1,1,1,8-10 times,Yes,Yes,Yes,Yes,0-1 Hours,1,1,1,1,1,1,No,No,Yes,No,No,No,No,No,Facebook;YouTube,5-7 Hours,1,3
2025/06/26 1:00:52 PM GMT+6,20-30,Male,Student,Single,4,4,3,1,5,4,5,1,4,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,3,5,2,5,3,1,Yes,No,Yes,No,No,No,Yes,Yes,Facebook;Instagram;YouTube,5-7 Hours,3,4
2025/06/26 1:02:09 PM GMT+6,40-60,Male,Employed,Married,4,2,2,1,3,2,2,1,2,8-10 times,Yes,Yes,No,Yes,1-3 Hours,2,1,1,2,4,1,No,No,Yes,No,No,No,No,,Facebook;YouTube,3-5 Hours,3,4
2025/06/26 1:03:06 PM GMT+6,20-30,Male,Student,Single,3,2,1,1,4,3,2,1,1,8-10 times,Yes,Yes,Yes,No,1-3 Hours,1,2,1,3,2,2,No,No,Yes,No,No,No,Yes,Yes,Facebook;Instagram;YouTube;LinkedIn,3-5 Hours,2,2
2025/06/26 1:03:16 PM GMT+6,20-30,Male,Student,Married,2,2,1,1,2,1,1,1,1,1-4 times,Yes,Yes,Yes,No,0-1 Hours,3,2,3,1,2,1,Yes,Yes,Yes,Yes,No,No,No,No,YouTube,5-7 Hours,1,2
2025/06/26 1:03:48 PM GMT+6,20-30,Male,Student,Complicated,5,4,4,4,5,5,4,4,3,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,4,4,4,5,4,5,Yes,No,No,Yes,No,No,Yes,Yes,Facebook;Instagram,5-7 Hours,4,5
2025/06/26 1:05:11 PM GMT+6,20-30,Male,Employed,Single,4,5,3,2,5,5,5,4,4,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,4,5,5,5,5,5,Yes,No,No,Yes,No,No,No,,Facebook;YouTube;WhatsApp,5-7 Hours,4,5
2025/06/26 1:05:30 PM GMT+6,30-40,Male,Employed,Married,1,5,1,5,1,1,1,5,5,More than 10 times,Yes,Yes,Yes,Yes,1-3 Hours,5,5,3,4,1,5,No,No,Yes,No,No,No,Yes,No,Facebook;YouTube,5-7 Hours,5,5
2025/06/26 1:07:51 PM GMT+6,20-30,Male,Student,In Relationship,3,2,3,2,4,4,3,4,2,1-4 times,Yes,Yes,Yes,No,1-3 Hours,2,2,2,2,1,2,No,Yes,Yes,Yes,No,No,No,Yes,Facebook;Instagram;YouTube,5-7 Hours,2,2
2025/06/26 1:08:28 PM GMT+6,20-30,Male,Employed,Single,3,3,2,4,2,5,4,1,1,More than 10 times,Yes,No,Yes,No,4-6 Hours,2,2,3,4,1,1,Yes,No,Yes,Yes,No,No,Yes,,Facebook;YouTube;Telegram,5-7 Hours,1,3
2025/06/26 1:11:02 PM GMT+6,40-60,Male,Employed,Married,1,1,1,1,1,2,3,1,1,1-4 times,Yes,No,Yes,No,1-3 Hours,1,1,1,1,1,2,No,No,No,No,No,No,Yes,No,Facebook;YouTube,5-7 Hours,1,1
2025/06/26 1:13:00 PM GMT+6,20-30,Male,Student,Single,5,3,2,2,5,5,3,1,1,8-10 times,Yes,Yes,Yes,No,1-3 Hours,1,2,1,4,2,1,No,Yes,No,No,Yes,No,No,Yes,Facebook;Instagram;YouTube;LinkedIn,5-7 Hours,1,4
2025/06/26 1:13:54 PM GMT+6,20-30,Male,Student,Single,4,5,2,2,5,4,2,1,1,5-7 times,Yes,Yes,No,No,1-3 Hours,3,3,2,4,3,4,No,Yes,No,Yes,No,No,Yes,Yes,Facebook;YouTube,7-9 Hours,3,3
2025/06/26 1:17:02 PM GMT+6,20-30,Male,Student,Single,2,2,3,2,2,2,2,2,2,5-7 times,Yes,Yes,Yes,No,4-6 Hours,2,2,2,2,2,2,No,Yes,Yes,Yes,No,No,Yes,No,YouTube,5-7 Hours,2,2
2025/06/26 1:18:02 PM GMT+6,20-30,Male,Student,Single,4,2,2,3,4,5,5,3,5,5-7 times,Yes,Yes,Yes,Yes,4-6 Hours,3,3,3,3,3,3,Yes,Yes,Yes,Yes,No,No,No,Yes,Facebook;YouTube;LinkedIn,3-5 Hours,3,3
2025/06/26 1:21:25 PM GMT+6,13-19,Male,Student,Single,5,5,3,1,5,3,4,1,4,More than 10 times,Yes,Yes,Yes,No,7-9 Hours,2,4,3,5,5,5,No,Yes,No,No,No,No,Yes,Yes,Facebook;Instagram,7-9 Hours,2,4
2025/06/26 1:22:08 PM GMT+6,20-30,Female,Student,Single,3,2,3,1,5,2,2,1,3,1-4 times,Yes,Yes,Yes,Yes,1-3 Hours,4,2,5,3,1,2,Yes,Yes,Yes,No,Yes,No,No,No,Facebook;Instagram;YouTube;LinkedIn,3-5 Hours,2,3
2025/06/26 1:26:30 PM GMT+6,30-40,Male,Employed,Married,4,3,4,3,4,4,4,4,3,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,3,4,3,4,3,1,No,No,No,Yes,Yes,Yes,Yes,,Facebook;YouTube;LinkedIn,5-7 Hours,3,3
2025/06/26 1:29:12 PM GMT+6,20-30,Male,Student,Single,4,4,2,1,2,3,2,2,1,5-7 times,No,Yes,No,No,1-3 Hours,3,4,5,3,1,2,Yes,Yes,No,Yes,No,No,No,Yes,YouTube,5-7 Hours,3,5
2025/06/26 1:29:20 PM GMT+6,20-30,Male,Employed,Married,2,1,1,1,1,1,2,1,1,1-4 times,Yes,Yes,Yes,Yes,0-1 Hours,2,1,1,1,1,1,No,Yes,Yes,Yes,No,No,No,No,Facebook;YouTube;LinkedIn,5-7 Hours,1,3
2025/06/26 1:34:01 PM GMT+6,20-30,Male,Employed,Married,4,3,4,3,4,2,2,5,1,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,3,1,3,3,5,2,Yes,Yes,Yes,No,No,No,Yes,No,Facebook,5-7 Hours,3,3
2025/06/26 1:36:21 PM GMT+6,20-30,Male,Student,In Relationship,2,2,3,1,2,3,1,1,1,More than 10 times,Yes,No,Yes,Yes,1-3 Hours,1,1,4,2,4,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Facebook;Instagram;Tiktok,7-9 Hours,5,3
2025/06/26 1:37:31 PM GMT+6,30-40,Male,Employed,Married,3,2,1,1,3,2,1,1,1,1-4 times,Yes,Yes,Yes,No,1-3 Hours,1,1,2,2,3,2,Yes,Yes,Yes,No,Yes,No,No,No,Facebook;YouTube;LinkedIn,5-7 Hours,3,3
2025/06/26 1:39:14 PM GMT+6,20-30,Male,Student,Single,4,3,3,2,3,5,3,1,1,1-4 times,No,Yes,Yes,No,7-9 Hours,3,2,3,5,4,1,No,Yes,Yes,Yes,No,No,No,Yes,YouTube;LinkedIn,More than 9 Hours,1,3
2025/06/26 1:41:44 PM GMT+6,20-30,Male,Student,In Relationship,2,3,2,2,2,4,4,4,4,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,1,1,1,2,2,2,Yes,Yes,No,Yes,No,Yes,Yes,No,Facebook;Instagram;Tiktok;YouTube,7-9 Hours,2,3
2025/06/26 1:46:51 PM GMT+6,20-30,Male,Student,Single,3,3,1,2,1,4,2,1,1,5-7 times,Yes,Yes,Yes,No,4-6 Hours,1,3,1,3,4,2,No,No,Yes,Yes,No,No,Yes,Yes,Facebook;YouTube;LinkedIn,7-9 Hours,2,1
2025/06/26 1:47:47 PM GMT+6,20-30,Female,Student,Single,5,5,3,5,5,3,4,1,2,More than 10 times,Yes,Yes,Yes,Yes,7-9 Hours,5,5,5,3,1,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Facebook;Instagram,7-9 Hours,1,3
2025/06/26 1:48:01 PM GMT+6,20-30,Male,Student,Single,5,5,2,1,1,3,2,2,3,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,2,2,3,1,1,3,Yes,Yes,Yes,No,No,No,Yes,No,Facebook;Instagram;YouTube;Snapchat,5-7 Hours,2,2
2025/06/26 1:49:48 PM GMT+6,20-30,Male,Employed,Complicated,5,5,5,5,5,5,5,5,5,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,5,5,5,5,5,5,Yes,No,No,No,No,No,Yes,Yes,Facebook;Instagram;YouTube;LinkedIn,5-7 Hours,5,5
2025/06/26 1:53:54 PM GMT+6,30-40,Male,Unemployed,Married,5,5,5,5,5,5,5,1,1,More than 10 times,Yes,Yes,Yes,No,7-9 Hours,5,5,5,4,5,5,Yes,Yes,No,Yes,No,No,Yes,No,Facebook;YouTube,1-3 Hours,1,5
2025/06/26 1:56:21 PM GMT+6,30-40,Male,Employed,Married,5,4,3,5,5,5,4,5,4,8-10 times,Yes,Yes,Yes,Yes,4-6 Hours,3,2,2,3,4,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Facebook;YouTube,5-7 Hours,4,3
2025/06/26 1:57:00 PM GMT+6,20-30,Male,Student,Single,3,2,4,3,5,5,5,3,4,8-10 times,Yes,Yes,Yes,Yes,4-6 Hours,4,4,4,4,5,3,Yes,Yes,No,Yes,No,No,Yes,Yes,Facebook;Instagram;YouTube,3-5 Hours,3,3
2025/06/26 1:57:11 PM GMT+6,20-30,Male,Student,In Relationship,5,4,3,1,4,4,4,1,4,8-10 times,Yes,No,Yes,No,7-9 Hours,4,4,4,5,4,3,Yes,No,No,Yes,No,No,Yes,Yes,Facebook;Instagram;YouTube,5-7 Hours,4,3
